tgl_publish,judul,link
"2019-10-01 14:23:00","Aceh International Diving Festival and Championship Resmi Dibuka di Sabang",https://infopublik.id/kategori/nusantara/378126/aceh-international-diving-festival-and-championship-resmi-dibuka-di-sabang
"2019-10-01 14:27:00","Pemerintah Aceh Pulangkan Empat Warga Aceh Dari Papua",https://infopublik.id/kategori/nusantara/377957/pemerintah-aceh-pulangkan-empat-warga-aceh-dari-papua
"2019-10-01 15:03:00","UTU Meulaboh Lakukan Pertukaran Mahasiswa ke University Terengganu ",https://infopublik.id/kategori/nusantara/378124/utu-meulaboh-lakukan-pertukaran-mahasiswa-ke-university-terengganu
"2019-10-01 18:08:00","Sekda Aceh : Mari Bekerja Ibarat Memadamkan Rumah Kebakaran",https://infopublik.id/kategori/nusantara/377608/sekda-aceh-mari-bekerja-ibarat-memadamkan-rumah-kebakaran
"2019-10-11 04:41:00","Perguruan Tinggi Mitra Pembangunan SDM Berkualitas",https://infopublik.id/kategori/nusantara/379158/perguruan-tinggi-mitra-pembangunan-sdm-berkualitas
"2019-10-11 04:42:00","Plt Gubernur Tinjau Peternakan Sapi di Ie Suum",https://infopublik.id/kategori/nusantara/379160/plt-gubernur-tinjau-peternakan-sapi-di-ie-suum
"2019-10-11 04:46:00","Inovasi Pelayanan BKA Mendapat Penghargaan dari BKN RI",https://infopublik.id/kategori/nusantara/379159/inovasi-pelayanan-bka-mendapat-penghargaan-dari-bkn-ri
"2019-10-11 04:53:00","Aceh Usulkan 3 Kawasan Ekonomi Khusus di Wilayah Barat Selatan",https://infopublik.id/kategori/nusantara/379156/aceh-usulkan-3-kawasan-ekonomi-khusus-di-wilayah-barat-selatan
"2019-10-11 04:58:00","Plt Gubernur Nova Jadi Warga Kehormatan UIN Ar-Raniry",https://infopublik.id/kategori/nusantara/379155/plt-gubernur-nova-jadi-warga-kehormatan-uin-ar-raniry
"2019-10-11 05:05:00","Pemerintah Aceh Bekerjasama Dengan UNICEF Perangi Stunting dan Gizi Buruk",https://infopublik.id/kategori/nusantara/379154/pemerintah-aceh-bekerjasama-dengan-unicef-perangi-stunting-dan-gizi-buruk
"2019-10-11 05:14:00","Kesehatan Program Prioritas Pemerintah Aceh",https://infopublik.id/kategori/nusantara/379153/kesehatan-program-prioritas-pemerintah-aceh
"2019-10-11 05:26:00","Wali Kota: Banda Aceh Kembali Ikuti Survey Penilaian Integritas",https://infopublik.id/kategori/nusantara/379151/wali-kota-banda-aceh-kembali-ikuti-survey-penilaian-integritas
"2019-10-11 05:43:00","Aminullah Harapkan Lulusan SMK Jadi Entrepreneur Muda",https://infopublik.id/kategori/nusantara/379149/aminullah-harapkan-lulusan-smk-jadi-entrepreneur-muda
"2019-10-11 05:48:00","Banda Aceh Tuan Rumah Kongres Mahasiswa Politik Se-Indonesia",https://infopublik.id/kategori/nusantara/379146/banda-aceh-tuan-rumah-kongres-mahasiswa-politik-se-indonesia
"2019-10-11 06:03:00","Banda Aceh Juara III Lomba Kadarkum yang Digelar Kemenkum dan HAM",https://infopublik.id/kategori/nusantara/379141/banda-aceh-juara-iii-lomba-kadarkum-yang-digelar-kemenkum-dan-ham
"2019-10-11 06:05:00","Ketua Dekranasda Banda Aceh Monitoring Perajin Tenun Lamgugob",https://infopublik.id/kategori/nusantara/379143/ketua-dekranasda-banda-aceh-monitoring-perajin-tenun-lamgugob
"2019-10-13 04:22:00","Kemenag Pijay Laksanakan Uji Kompetensi Guru Online Diikuti 654 Guru Madrasah",https://infopublik.id/kategori/nusantara/379561/kemenag-pijay-laksanakan-uji-kompetensi-guru-online-diikuti-654-guru-madrasah
"2019-10-13 04:25:00","Kemenag Aceh Lauching Aplikasi Ujian Berbasis Online",https://infopublik.id/kategori/nusantara/379560/kemenag-aceh-lauching-aplikasi-ujian-berbasis-online
